50;2023-06-30 17:10:53.000049;2023-06-30 17:10:53.000049;27;1;;Italy;P;Brancolini;Lecce
51;2023-06-30 17:10:53.000050;2023-06-30 17:10:53.000050;36;1;;Italy;P;Bleve;Lecce
52;2023-06-30 17:10:53.000051;2023-06-30 17:10:53.000051;27;1;;Italy;P;Berardi A.;Verona
53;2023-06-30 17:10:53.000052;2023-06-30 17:10:53.000052;19;1;;Italy;P;Russo A.;Sassuolo
54;2023-06-30 17:10:53.000053;2023-06-30 17:10:53.000053;25;1;;Italy;P;Gemello;Torino
55;2023-06-30 17:10:53.000054;2023-06-30 17:10:53.000054;23;1;;Italy;P;Boer;Roma
56;2023-06-30 17:10:53.000055;2023-06-30 17:10:53.000055;25;1;;Lituania;P;Adamonis;Lazio
57;2023-06-30 17:10:53.000056;2023-06-30 17:10:53.000056;38;1;;Italy;P;Marfella;Napoli
58;2023-06-30 17:10:53.000057;2023-06-30 17:10:53.000057;34;1;;Bosnia;P;Zovko;Spezia
59;2023-06-30 17:10:53.000058;2023-06-30 17:10:53.000058;36;1;;Italy;P;Piana;Udinese
60;2023-06-30 17:10:53.000059;2023-06-30 17:10:53.000059;20;1;;Italy;P;Bagnolini;Bologna
61;2023-06-30 17:10:53.000060;2023-06-30 17:10:53.000060;37;1;;Spain;P;Luis Maximiano;Lazio
62;2023-06-30 17:10:53.000061;2023-06-30 17:10:53.000061;28;1;;Italy;P;Sorrentino A.;Monza
63;2023-06-30 17:10:53.000062;2023-06-30 17:10:53.000062;26;1;;Poland;P;Ciezkowski;Cremonese
64;2023-06-30 17:10:53.000063;2023-06-30 17:10:53.000063;19;1;;Italy;P;Saro;Cremonese
65;2023-06-30 17:10:53.000064;2023-06-30 17:10:53.000064;33;1;;Colombia;P;Vasquez D.;Milan
66;2023-06-30 17:10:53.000065;2023-06-30 17:10:53.000065;35;1;;Italy;P;Martinelli T.;Fiorentina
67;2023-06-30 17:10:53.000066;2023-06-30 17:10:53.000066;36;19;;Brazil;D;Carlos Augusto;Monza
68;2023-06-30 17:10:53.000067;2023-06-30 17:10:53.000067;26;18;;Italy;D;Dimarco;Inter
69;2023-06-30 17:10:53.000068;2023-06-30 17:10:53.000068;18;18;;Austria;D;Posch;Bologna
70;2023-06-30 17:10:53.000069;2023-06-30 17:10:53.000069;35;17;;Italy;D;Di Lorenzo;Napoli
71;2023-06-30 17:10:53.000070;2023-06-30 17:10:53.000070;38;16;;Italy;D;Zappacosta;Atalanta
72;2023-06-30 17:10:53.000071;2023-06-30 17:10:53.000071;36;16;;Brazil;D;Danilo;Juventus
73;2023-06-30 17:10:53.000072;2023-06-30 17:10:53.000072;20;16;;England;D;Smalling;Roma
74;2023-06-30 17:10:53.000073;2023-06-30 17:10:53.000073;29;15;;South Korea;D;Kim;Napoli
75;2023-06-30 17:10:53.000074;2023-06-30 17:10:53.000074;36;14;;Italy;D;Romagnoli;Lazio
